Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group,Reliability x Accuracy,Reliability x Privacy,Reliability x Volitionality,Reliability x Outcome,Reliability x Cycle,Reliability x Disparity,Reliability x Group,Accuracy x Privacy,Accuracy x Volitionality,Accuracy x Outcome,Accuracy x Cycle,Accuracy x Disparity,Accuracy x Group,Privacy x Volitionality,Privacy x Outcome,Privacy x Cycle,Privacy x Disparity,Privacy x Group,Volitionality x Outcome,Volitionality x Cycle,Volitionality x Disparity,Volitionality x Group,Outcome x Cycle,Outcome x Disparity,Outcome x Group,Cycle x Disparity,Cycle x Group,Disparity x Group
All Domains,0.765228690229,0.000205192304427,0.0158441208662,0.544956267909,0.0301985889428,0.0504732053052,0.318238083906,-0.0397997434771,-0.148759848599,0.0179470156699,-0.00623637396397,0.0131203631358,0.00531455787296,0.0179007586159,-0.0182493665992,-0.0151605295474,0.0157327467047,-0.012285110226,0.0124514286126,-0.0600022399593,0.0591212542944,0.026809541698,-0.0442197763222,0.0105528507756,0.0124346318863,0.0024046641752,-0.0144109281796,0.0156041416605,0.00640928219936,0.0156271611464,0.0109924324321,-0.00424135889357,-0.0356946723561,-0.0132669643325,0.0292629407938,-0.0107773452007,0.0153868543621,-0.0271752957944
Within Rec,0.718256410256,0.000587662904699,0.0996063864506,0.554661041157,-0.222402503069,0.19492288868,0.231231919566,-0.0306292347254,0.0986794671803,-0.123035548084,-0.00884232931369,0.0141580387385,0.0416075989933,0.0436114598723,-0.0364182045249,0.0410595694746,-0.0658344857506,-0.0284286013621,-0.103597083424,-0.0716310208632,0.0529455424677,0.016404792555,-0.0212102486507,0.139639315093,-0.0177022146103,0.0736970950118,0.0277807821525,-0.0155096872148,0.031138127555,-0.0571974580912,-0.0212634436705,0.0178002260633,-0.0147066353902,-0.0331138073358,0.0500076363829,-0.0330610254201,0.0144817737388,0.0165829930923
Within Unem,0.663953703704,0.000613599209805,-0.0922225691236,0.502210474617,0.0413597131398,0.12226147441,0.15294578937,0.106359763032,-0.17103739791,0.039413222852,0.00608534611066,0.0231846073264,0.0347859464433,0.0175595758202,-0.0140687065089,0.0434809961875,-0.0341123184824,0.000745708183543,0.0170800256843,-0.0462629585206,0.0687045890714,-0.0238052923983,-0.00867330411445,0.0327074456213,-0.0287543413885,0.0272203333346,0.0439823036776,-0.0122386435294,-0.00594603696127,0.0643634007577,-0.0387241595031,-0.0266199988781,-0.0199002727676,0.00359696260097,0.00841663309377,-0.0177918953005,0.0146150151778,-0.0355235118624
Within CPS,0.766819221968,0.000496367373916,-0.09472758009,0.651474679601,0.0440234902891,-0.0476969298367,0.147386547554,-0.0308338407628,-0.0430083895946,-0.0522441724316,-0.00638945385507,0.0891976410702,0.00951673710127,0.0318963714155,0.046374603916,-0.130897609942,0.0552495440866,-0.0595465289249,0.0688732952121,-0.0500302025393,0.0731414862602,0.118989055216,-0.157603332367,-0.0101020815869,0.030852796227,-0.0296140411813,-0.108390581552,0.0897636298025,-0.0585356293882,0.0458098047785,0.0430252592173,0.0240529324046,-0.0637042521665,0.0389000357714,0.0511362854808,0.0325317652796,-0.0482951366187,-0.0578361209238
Within Hos,0.7617,0.000598434433463,0.116546778581,0.400005553622,0.0902670500301,-0.0768693637964,0.63262990835,-0.169834026751,-0.428689055533,0.128642678453,-0.00613730102854,0.0308066221247,-0.00874591154546,-0.0285221475564,0.0653288861753,-0.189339098353,0.169923637369,-0.0392825658731,0.0338370704416,-0.136450849241,0.075127609729,0.246884126003,-0.225634658578,-0.0378330379,0.0333572365327,0.0255055945286,-0.0351801102763,0.0200337830194,-0.0283988296347,0.0695001869186,0.041345135121,-0.0920606995336,-0.0334515601608,-0.0515686407166,0.0376547994264,0.025463346558,-0.0242191421185,-0.0315065666386
Within Loan,0.833183294664,0.000492703260249,-0.0764775931306,0.657664524146,-0.0225733080086,-0.0847435324601,0.712198986472,0.153500875625,-0.377721357553,-0.0710558671117,0.00949382005877,-0.0645742026534,0.0363456864984,-0.0658321178835,-0.100261867472,0.0127412309873,0.0659098151022,8.07416337095e-05,0.067525805724,-0.0829308570396,-0.0350759175238,0.119614878328,-0.118749431116,0.0743139437628,0.0107463338616,-0.000386649889453,0.112237738463,-0.0237710701379,-0.0237345045363,-0.124001380267,0.126607803547,0.0647416046704,0.06703627117,-0.0793921899288,-0.0214186846161,-0.140955259014,0.111750049076,-0.0730301876702
Within Ins,0.711858381503,0.000641178358953,0.103243265118,0.542027386913,0.0848468470807,0.0708379880252,0.510889501869,-0.120075569375,-0.0867470684363,0.028199926964,0.00509781055932,-0.0279364268688,-0.00404383306017,-0.0539972356226,-0.0307117516528,-0.0126268889811,0.00609203048639,0.0199390045153,0.0461413689078,-0.0665987194339,0.0340411613571,0.0481947224151,0.00546533187577,0.033292466534,0.0493306785043,-0.0167426847931,-0.0470128409308,-0.00570750468021,0.00911912048261,-0.00501425032843,0.0146776046753,0.0569272873088,-0.068762207148,0.0294937789958,0.00738926739071,-0.102118471667,0.113617087807,-0.0244113953836
Cross Test Rec,0.740093240093,NA,-0.00789341475499,0.542750138412,0.0451969101393,0.042817126731,0.339894828159,-0.0185319571393,-0.207238777582,0.0395341046696,-0.00397757868201,0.0164604497073,0.00315336626931,0.00938175165193,-0.0178441460938,-0.0144440694952,0.0188864405962,-0.0117194636323,0.032063993393,-0.0608374415787,0.0619555846197,0.0348092950714,-0.0512737554546,-0.00247471618764,0.0123464269502,-0.00360361006899,-0.0157369472573,0.0201682739726,0.0024690613589,0.0291383121849,0.0104428563454,-0.00351767572859,-0.0356264042575,-0.0118061734743,0.0295629340464,-0.0160290803332,0.0151207509262,-0.0325688703078
Cross Test Unem,0.678240740741,NA,0.0546988298745,0.562791390915,0.0262134585856,0.0327549259169,0.372270326077,-0.0920894417567,-0.138484245051,0.0186787741921,-0.0156377183987,-0.0012826351515,-0.00842475328191,0.0190936107507,0.00472235714518,-0.0513567426383,0.0359592202075,-0.0139239868778,0.0205581337354,-0.0670871174619,0.0435521192604,0.0680488381081,-0.0706294486848,0.0118118330031,0.0182932318591,0.00708358648477,-0.036199659,0.0292741697573,0.00142001051491,-0.00130457709086,0.0340967039178,-0.00290892173081,-0.0469197426866,-0.0107527915169,0.0359369364707,-0.0121323848151,0.0155124917618,-0.0215854916242
Cross Test CPS,0.787185354691,NA,0.0261051221501,0.533804142634,0.0196099831881,0.0703180687947,0.333617961338,-0.0340759698103,-0.14874199697,0.022847648734,-0.00567472197061,0.00885622138705,0.00371890791749,0.0174931365818,-0.0326186367203,-0.00612766839092,0.0162041434047,-0.00686827631564,0.00698755214882,-0.0603850027441,0.0576012259596,0.0167967463753,-0.0359113227926,0.0159501940677,0.0118259851953,0.0043587461019,-0.00541872166505,0.00988993823744,0.0108227992171,0.00993869364068,0.00654520672246,-0.00561709910725,-0.0277051111241,-0.0225543595338,0.026198702384,-0.0166933868087,0.0272809977891,-0.0264516641743
Cross Test Hos,0.793939393939,NA,0.00506297895736,0.555675493625,0.0196470844852,0.0672731417409,0.291678737062,-0.0311275508632,-0.108825305393,-0.00406295549004,-0.00403004592452,0.00959934829123,0.0101667714899,0.0196463806301,-0.0310558419832,0.0066249736147,0.0011808240595,-0.0119251851925,0.0170704055354,-0.0574980302723,0.0574148523633,0.0193621704927,-0.0397870238576,0.0278816136948,0.00721407808776,-0.00198007681537,0.00412570627702,0.00375406357398,0.0121268707809,0.00365387733998,-0.00288600462047,0.0123334728848,-0.0340699293149,-0.00462625960653,0.0248262618195,-0.0331807445783,0.038012683509,-0.0346464735829
Cross Test Loan,0.841251448436,NA,0.0132446074792,0.529185025442,0.0413475342249,0.043732015696,0.290538952577,-0.039369885661,-0.134181843659,0.0156147846875,-0.000959932415924,0.0247085384507,0.011109751408,0.0139835742905,-0.00928641641843,-0.0182659137961,0.0106124482712,-0.0180694716712,-0.001976107517,-0.0579028000369,0.0674593741841,0.0165823412259,-0.0312902285618,0.00820015730726,0.0177060724842,0.00102431266685,-0.0228376150301,0.0169139364964,0.00364562918443,0.0293226147116,0.00283714814541,-0.00760019351329,-0.0390164302198,-0.0128299018143,0.0275557361831,0.00147717398467,0.00137341965156,-0.0183652759971
Cross Test Ins,0.754335260116,NA,0.00443500616881,0.554740796776,0.0248715996097,0.0491297561743,0.290070243039,-0.0301103601804,-0.154277026557,0.0131901276698,-0.0114225887876,0.0165461129697,0.00969593772118,0.0283608674181,-0.0142492685608,-0.0165464957729,0.0130824188373,-0.0109337747113,0.00443980391021,-0.0603634226274,0.0594302060636,0.0235200958538,-0.0478827209445,0.00833046943285,0.00551604819592,0.0125636740974,-0.00852780772862,0.0119111245196,0.00399969030407,0.0204246060883,0.0178824953993,-0.018297182394,-0.0305262764336,-0.0131022780633,0.0303151685209,0.00395649961869,0.00106422777328,-0.031795041088
Cross Train Rec,0.717935745004,NA,0.0996063864506,0.554661041157,-0.222402503069,0.19492288868,0.231231919566,-0.0306292347254,0.0986794671803,-0.123035548084,-0.00884232931369,0.0141580387385,0.0416075989933,0.0436114598723,-0.0364182045249,0.0410595694746,-0.0658344857506,-0.0284286013621,-0.103597083424,-0.0716310208632,0.0529455424677,0.016404792555,-0.0212102486507,0.139639315093,-0.0177022146103,0.0736970950118,0.0277807821525,-0.0155096872148,0.031138127555,-0.0571974580912,-0.0212634436705,0.0178002260633,-0.0147066353902,-0.0331138073358,0.0500076363829,-0.0330610254201,0.0144817737388,0.0165829930923
Cross Train Unem,0.762351152774,NA,-0.0922225691236,0.502210474617,0.0413597131398,0.12226147441,0.15294578937,0.106359763032,-0.17103739791,0.039413222852,0.00608534611066,0.0231846073264,0.0347859464433,0.0175595758202,-0.0140687065089,0.0434809961875,-0.0341123184824,0.000745708183543,0.0170800256843,-0.0462629585206,0.0687045890714,-0.0238052923983,-0.00867330411445,0.0327074456213,-0.0287543413885,0.0272203333346,0.0439823036776,-0.0122386435294,-0.00594603696127,0.0643634007577,-0.0387241595031,-0.0266199988781,-0.0199002727676,0.00359696260097,0.00841663309377,-0.0177918953005,0.0146150151778,-0.0355235118624
Cross Train CPS,0.744475488951,NA,-0.09472758009,0.651474679601,0.0440234902891,-0.0476969298367,0.147386547554,-0.0308338407628,-0.0430083895946,-0.0522441724316,-0.00638945385507,0.0891976410702,0.00951673710127,0.0318963714155,0.046374603916,-0.130897609942,0.0552495440866,-0.0595465289249,0.0688732952121,-0.0500302025393,0.0731414862602,0.118989055216,-0.157603332367,-0.0101020815869,0.030852796227,-0.0296140411813,-0.108390581552,0.0897636298025,-0.0585356293882,0.0458098047785,0.0430252592173,0.0240529324046,-0.0637042521665,0.0389000357714,0.0511362854808,0.0325317652796,-0.0482951366187,-0.0578361209238
Cross Train Hos,0.746085280655,NA,0.116546778581,0.400005553622,0.0902670500301,-0.0768693637964,0.63262990835,-0.169834026751,-0.428689055533,0.128642678453,-0.00613730102854,0.0308066221247,-0.00874591154546,-0.0285221475564,0.0653288861753,-0.189339098353,0.169923637369,-0.0392825658731,0.0338370704416,-0.136450849241,0.075127609729,0.246884126003,-0.225634658578,-0.0378330379,0.0333572365327,0.0255055945286,-0.0351801102763,0.0200337830194,-0.0283988296347,0.0695001869186,0.041345135121,-0.0920606995336,-0.0334515601608,-0.0515686407166,0.0376547994264,0.025463346558,-0.0242191421185,-0.0315065666386
Cross Train Loan,0.718844984802,NA,-0.0764775931306,0.657664524146,-0.0225733080086,-0.0847435324601,0.712198986472,0.153500875625,-0.377721357553,-0.0710558671117,0.00949382005877,-0.0645742026534,0.0363456864984,-0.0658321178835,-0.100261867472,0.0127412309873,0.0659098151022,8.07416337095e-05,0.067525805724,-0.0829308570396,-0.0350759175238,0.119614878328,-0.118749431116,0.0743139437628,0.0107463338616,-0.000386649889453,0.112237738463,-0.0237710701379,-0.0237345045363,-0.124001380267,0.126607803547,0.0647416046704,0.06703627117,-0.0793921899288,-0.0214186846161,-0.140955259014,0.111750049076,-0.0730301876702
Cross Train Ins,0.750424860403,NA,0.103243265118,0.542027386913,0.0848468470807,0.0708379880252,0.510889501869,-0.120075569375,-0.0867470684363,0.028199926964,0.00509781055932,-0.0279364268688,-0.00404383306017,-0.0539972356226,-0.0307117516528,-0.0126268889811,0.00609203048639,0.0199390045153,0.0461413689078,-0.0665987194339,0.0340411613571,0.0481947224151,0.00546533187577,0.033292466534,0.0493306785043,-0.0167426847931,-0.0470128409308,-0.00570750468021,0.00911912048261,-0.00501425032843,0.0146776046753,0.0569272873088,-0.068762207148,0.0294937789958,0.00738926739071,-0.102118471667,0.113617087807,-0.0244113953836
