Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group,Reliability x Relevance,Reliability x Privacy,Reliability x Volitionality,Reliability x Outcome,Reliability x Cycle,Reliability x Disparity,Reliability x Group,Relevance x Privacy,Relevance x Volitionality,Relevance x Outcome,Relevance x Cycle,Relevance x Disparity,Relevance x Group,Privacy x Volitionality,Privacy x Outcome,Privacy x Cycle,Privacy x Disparity,Privacy x Group,Volitionality x Outcome,Volitionality x Cycle,Volitionality x Disparity,Volitionality x Group,Outcome x Cycle,Outcome x Disparity,Outcome x Group,Cycle x Disparity,Cycle x Group,Disparity x Group
All Domains,0.819415012107,0.000186184127978,0.14806737197,0.717311004841,-0.0810706809617,-0.0333392268064,0.25626505353,-0.0581667342935,-0.132532100581,-0.0394610226793,0.0209758062651,0.0432004373073,0.0261416580296,0.0142647755702,0.0253030873274,-0.0497711230975,0.0432968724005,0.010043991622,-0.00850390105541,-0.0303032772164,-0.00941056810846,0.0457604578966,-0.0420932760872,0.0106090003787,-0.0180999397799,0.00133316915295,0.00605534901459,0.0106086666603,0.00473042656416,-0.00892914366084,0.0516370038569,-0.0167330201525,-0.0152465658264,-0.0286714379932,0.0344499853621,-0.0135739928451,0.0189808464556,-0.0337062080714
Within Rec,0.811019125683,0.000526282371509,0.151043743486,0.810145773115,-0.127616221225,0.0769048874101,0.32498518767,-0.15987287721,-0.0550318452189,-0.126645032194,0.00992620804602,0.047640629533,-0.0246712216319,0.0636369300048,0.080750329652,-0.11814901294,0.0583636795137,0.00232777941875,-0.0851418072846,-0.0704170773944,0.0635851369866,0.110739409708,-0.0554034091776,-0.0367940808603,0.000345742016067,0.0279092033484,-0.0128449783517,-0.0276490373258,0.0609140748233,0.0988606136328,0.0283849477022,-0.0247789571282,-0.0507591300414,-0.0434396780957,0.022564822372,-0.0137791213098,-0.00433718760272,-0.0124422158455
Within Unem,0.762839673913,0.000570609913474,0.178879976912,0.634401280408,-0.146255873495,0.0200651014531,0.154957479307,0.139034517207,-0.22298498051,0.0313850683785,0.0429348635598,0.0866534029737,-0.0135509002195,-0.00309561856026,0.0116530279452,-0.0535688338057,-0.00393371460701,-0.0238838640475,0.0194492654243,0.0246476809275,-0.0917601745783,0.149660605666,-0.0746388497162,0.0337687770759,-0.0452785103365,0.0541489694188,0.0363135929399,-0.0409147690476,-0.0380390899499,-0.0213918289972,0.0863726342902,-0.0468456124744,-0.00398240150622,-0.00421560758339,0.0637307128802,0.00127200673999,0.00696916427573,-0.0463278498708
Within CPS,0.800568364611,0.000556612274406,0.126954081683,0.596936852754,0.120470713788,-0.00757248378498,0.142182411396,-0.295372098819,-0.246481794468,0.0598511839723,0.00467402930077,-0.0927015587246,0.0559309893943,-0.0209934219585,0.104601598241,-0.065820231236,0.101013689557,0.055043531247,-0.0546926664659,0.0189651545812,0.120982953091,-0.0759517790544,-0.050861108248,0.0666571221723,0.0159736737624,-0.0372328634224,0.0609649004778,-0.0100068041059,0.00579816720427,-0.0297834237834,0.0460188151016,0.041229877899,-0.0461607990841,0.133955465198,0.00838734768139,0.0171640163434,-0.133316094808,-0.00155465860269
Within Hos,0.77173943662,0.000679960621524,0.289441780436,0.498004769373,-0.105125810604,-0.0646063707247,0.427655033362,0.290627191954,-0.419599880766,0.0617656833949,-0.0590595398307,0.0666924179118,0.0913595037423,0.107959828534,-0.00527249114548,0.137376082088,-0.0146788298271,0.0901072262536,-0.0417682927786,-0.146331470336,-0.119661374961,-0.0111049708311,-0.0155736150723,0.00670212032591,-0.00792435250597,0.106507283757,0.00716780987182,-0.00945842553164,-0.0435908782795,0.0255475504214,-0.0271087982837,0.000310171060091,0.123513448658,-0.105250653057,0.0413236617273,0.0129228068153,0.0700866854162,-0.0328162391184
Within Loan,0.862029100529,0.0004773952657,0.0190959278512,1.21672583293,-0.124242538948,0.122820156226,0.251724163437,0.154920626717,-0.564581097992,-0.040298190712,-0.0408118599915,0.0654375789646,-0.0402497627288,0.0541261267388,-0.151598286475,-0.0089205112555,0.209657709213,-0.0358142107688,0.076557618058,-0.0297902693804,-0.0349949679326,0.124803786231,-0.259347943459,0.0637948764388,-0.0549360802026,-0.0468453214391,0.0155748155901,0.0796700556442,0.0192632670853,-0.0685850135523,-0.00565001349551,0.0763177026406,0.0138939776704,-0.106997174136,0.0255373877957,-0.0111655876677,0.082761735729,-0.0302420866783
Within Ins,0.786132653061,0.000636889952254,0.284926163733,1.00978591365,-0.243679462479,-0.128669822886,0.638444004985,-0.195863678935,0.0657043218474,-0.233876961716,-0.0016258132593,0.108793661986,0.0561758827139,-0.114786088693,0.0676511073208,-0.057781719791,0.0333598508842,0.0493271610553,0.0265157805868,-0.0558195703807,-0.0884853586622,0.0598305347367,0.107658169125,-0.0107073178589,-0.0516999735327,-0.0940097251076,0.0508484097283,0.0644724708337,-0.0477163722556,-0.0275879303701,0.0489987302923,0.0355335900022,-0.108531146528,-0.167341626005,0.0590158678468,-0.00619047424547,0.00152004594094,-0.00201303447226
Cross Test Rec,0.842896174863,NA,0.15953763528,0.749686443138,-0.0643153231551,-0.0736934679603,0.217435065622,-0.0281433096531,-0.173406821949,-0.00684081933412,0.00768316815516,0.0393136942896,0.0410380289737,0.0145330284282,0.0122516035897,-0.0401545760847,0.0427171732366,0.00378386558993,0.011885059471,-0.0183473734438,-0.0311495577958,0.043861610487,-0.040712600419,0.0214211384152,-0.0172039831015,0.000610137488557,0.0147614083072,0.0113921579723,-0.0127003961116,-0.0201780026601,0.0473339842569,-0.00226487856283,-0.00818822529251,-0.0277506943552,0.0360838464109,-0.00752945479299,0.0137252816823,-0.0390776748233
Cross Test Unem,0.776119402985,NA,0.13874690868,0.762422748545,-0.085034494516,-0.0243446060747,0.30467101605,-0.0937564014766,-0.150045349293,-0.0713135934861,0.00275394980235,0.0362605683198,0.0274610307903,0.00950101240709,0.0207188004868,-0.0363190198585,0.0633888775504,0.0245183497549,-0.0105061572221,-0.0402914989556,0.0208972668058,0.0218795437656,-0.0405851165082,0.0102096391566,-0.0213364704524,-0.0108182241652,0.00405371417122,0.02326658547,0.0213811710815,-0.00616327286883,0.0400461512805,-0.0103722264439,-0.0235483514915,-0.0329432637693,0.0236845367299,-0.0148411101894,0.0165369256539,-0.0252781817613
Cross Test CPS,0.817938420348,NA,0.150293169139,0.733933740523,-0.109131395403,-0.0205497162468,0.278880343422,-0.0349697034207,-0.130431638352,-0.0506415367369,0.026795112616,0.0572811254897,0.0262586597244,0.0172604807562,0.0205862737611,-0.0493270004899,0.0349964216426,0.00106735072863,-0.0104123983807,-0.0375861613988,-0.0275141960664,0.0630693162114,-0.0372375146735,0.00275754151877,-0.0213137184691,0.00184175743453,0.00659803770043,0.00555687576915,-0.0027485923553,-0.00964113802208,0.0513528761794,-0.0221344347273,-0.0225795399009,-0.0519013304295,0.0414510947408,-0.0231052110627,0.0465588211952,-0.0369909114442
Cross Test Hos,0.796133567663,NA,0.150895746935,0.744364895549,-0.0719684958575,-0.0333244889006,0.246510087834,-0.0786145712882,-0.0967695173661,-0.0679481925154,0.0291140352041,0.0416698665819,0.0146285982338,0.0092651842925,0.0307678531114,-0.0777021922038,0.05964779163,0.00307889070497,-0.0123059912066,-0.0327458930267,-0.0101626654424,0.0473835047099,-0.0462718250216,0.0115858843522,-0.0215064358312,-0.0127024326372,0.00516112530155,0.0171598592865,0.0164782005071,-0.0110197339199,0.0595345519931,-0.0137225232661,-0.0261806183645,-0.0169184897601,0.0371443386265,-0.0171097803163,0.011447221894,-0.024920048872
Cross Test Loan,0.881109643329,NA,0.156123060715,0.666951700811,-0.0915448582839,-0.0403524905349,0.265974923426,-0.0635765498175,-0.12755519711,-0.0340367789587,0.0271103327832,0.0469308184216,0.0251883948246,0.00286333678713,0.0420523020535,-0.0404109576022,0.0242772247254,0.0202058224535,-0.011924931084,-0.0288071941116,-0.00501846805262,0.0463524682022,-0.0320187718613,0.00840006264607,-0.0160030800774,0.0119928943812,0.00720932525077,-0.00244388678483,-0.00266265773541,0.00601943996729,0.0567639846642,-0.0281996754503,-0.00963972281058,-0.0230214543913,0.0354715854203,-0.00598047738392,0.00546102917012,-0.0354277713223
Cross Test Ins,0.809523809524,NA,0.141523972578,0.689560634423,-0.0667447094304,-0.00832027067805,0.226562470364,-0.0428658788325,-0.141834412021,-0.0151618637333,0.0203182042078,0.0383049962799,0.0223811960659,0.0300338889955,0.0202685901705,-0.0479490798707,0.0430060182641,0.0104142995487,-0.0171227467251,-0.0241631589679,-0.00217353169329,0.0515825537928,-0.0610066722121,0.0119018480854,-0.0140568212173,0.0156266231585,0.00392718968334,0.0078685922186,0.00776742733252,-0.00814913344751,0.0494648946565,-0.0189505270619,-0.00180285075258,-0.0233922048008,0.0337282789088,-0.0126691073366,0.0179549699681,-0.035741382726
Cross Train Rec,0.7984108299,NA,0.151043743486,0.810145773115,-0.127616221225,0.0769048874101,0.32498518767,-0.15987287721,-0.0550318452189,-0.126645032194,0.00992620804602,0.047640629533,-0.0246712216319,0.0636369300048,0.080750329652,-0.11814901294,0.0583636795137,0.00232777941875,-0.0851418072846,-0.0704170773944,0.0635851369866,0.110739409708,-0.0554034091776,-0.0367940808603,0.000345742016067,0.0279092033484,-0.0128449783517,-0.0276490373258,0.0609140748233,0.0988606136328,0.0283849477022,-0.0247789571282,-0.0507591300414,-0.0434396780957,0.022564822372,-0.0137791213098,-0.00433718760272,-0.0124422158455
Cross Train Unem,0.817860300619,NA,0.178879976912,0.634401280408,-0.146255873495,0.0200651014531,0.154957479307,0.139034517207,-0.22298498051,0.0313850683785,0.0429348635598,0.0866534029737,-0.0135509002195,-0.00309561856026,0.0116530279452,-0.0535688338057,-0.00393371460701,-0.0238838640475,0.0194492654243,0.0246476809275,-0.0917601745783,0.149660605666,-0.0746388497162,0.0337687770759,-0.0452785103365,0.0541489694188,0.0363135929399,-0.0409147690476,-0.0380390899499,-0.0213918289972,0.0863726342902,-0.0468456124744,-0.00398240150622,-0.00421560758339,0.0637307128802,0.00127200673999,0.00696916427573,-0.0463278498708
Cross Train CPS,0.747856931717,NA,0.126954081683,0.596936852754,0.120470713788,-0.00757248378498,0.142182411396,-0.295372098819,-0.246481794468,0.0598511839723,0.00467402930077,-0.0927015587246,0.0559309893943,-0.0209934219585,0.104601598241,-0.065820231236,0.101013689557,0.055043531247,-0.0546926664659,0.0189651545812,0.120982953091,-0.0759517790544,-0.050861108248,0.0666571221723,0.0159736737624,-0.0372328634224,0.0609649004778,-0.0100068041059,0.00579816720427,-0.0297834237834,0.0460188151016,0.041229877899,-0.0461607990841,0.133955465198,0.00838734768139,0.0171640163434,-0.133316094808,-0.00155465860269
Cross Train Hos,0.764953664701,NA,0.289441780436,0.498004769373,-0.105125810604,-0.0646063707247,0.427655033362,0.290627191954,-0.419599880766,0.0617656833949,-0.0590595398307,0.0666924179118,0.0913595037423,0.107959828534,-0.00527249114548,0.137376082088,-0.0146788298271,0.0901072262536,-0.0417682927786,-0.146331470336,-0.119661374961,-0.0111049708311,-0.0155736150723,0.00670212032591,-0.00792435250597,0.106507283757,0.00716780987182,-0.00945842553164,-0.0435908782795,0.0255475504214,-0.0271087982837,0.000310171060091,0.123513448658,-0.105250653057,0.0413236617273,0.0129228068153,0.0700866854162,-0.0328162391184
Cross Train Loan,0.797806107323,NA,0.0190959278512,1.21672583293,-0.124242538948,0.122820156226,0.251724163437,0.154920626717,-0.564581097992,-0.040298190712,-0.0408118599915,0.0654375789646,-0.0402497627288,0.0541261267388,-0.151598286475,-0.0089205112555,0.209657709213,-0.0358142107688,0.076557618058,-0.0297902693804,-0.0349949679326,0.124803786231,-0.259347943459,0.0637948764388,-0.0549360802026,-0.0468453214391,0.0155748155901,0.0796700556442,0.0192632670853,-0.0685850135523,-0.00565001349551,0.0763177026406,0.0138939776704,-0.106997174136,0.0255373877957,-0.0111655876677,0.082761735729,-0.0302420866783
Cross Train Ins,0.78345567476,NA,0.284926163733,1.00978591365,-0.243679462479,-0.128669822886,0.638444004985,-0.195863678935,0.0657043218474,-0.233876961716,-0.0016258132593,0.108793661986,0.0561758827139,-0.114786088693,0.0676511073208,-0.057781719791,0.0333598508842,0.0493271610553,0.0265157805868,-0.0558195703807,-0.0884853586622,0.0598305347367,0.107658169125,-0.0107073178589,-0.0516999735327,-0.0940097251076,0.0508484097283,0.0644724708337,-0.0477163722556,-0.0275879303701,0.0489987302923,0.0355335900022,-0.108531146528,-0.167341626005,0.0590158678468,-0.00619047424547,0.00152004594094,-0.00201303447226
